Year,Graduates_in_Uzbekistan,Total_Population,By_regions,Karakalpakistan,Pop.1,Andijan,Pop.2,Bukhara,Pop.3,Jizzakh,Pop.4,Kashkadarya,Pop.5,Navoi,Pop.6,Namangan,Pop.7,Samarkand,Pop.8,Surkhandarya,Pop.9,Syrdarya,Pop.10,Tashkent,Pop.11,Fergana,Pop.12,Khorezm,Pop.13,TashkentCity,Pop.14
2010,71791,28001400,_,4648,1632000,3865,2549100,3648,1612500,2108,1116800,2719,2616100,2332,851600,3475,2258500,5329,3119000,1938,2075000,915,714400,2769,2585900,5341,3074600,2445,1561600,30259,2234300
2011,76379,29123400,_,4974,1680900,4511,2672300,4417,1683800,2549,1166700,3639,2722900,3088,873000,3914,2379500,5971,3270800,1995,2175100,1228,727200,3604,2644400,5588,3229200,2181,1601100,28720,2296500
2012,86255,29555400,_,4979,1692800,4661,2714200,4385,1707400,2416,1186600,3935,2777800,3530,881200,3969,2420600,6853,3326200,2058,2218900,1393,739500,3349,2671000,6500,3280800,2681,1629100,35546,2309300
2013,60925,29993500,_,3704,1711800,2926,2756400,3026,1729700,1988,1205000,2445,2831300,2072,888400,2469,2458700,4878,3380900,1504,2260600,864,750600,2656,2695700,4210,3329700,1878,1653800,26305,2340900
2014,60524,30492800,_,3834,1736500,3427,2805500,3138,1736500,2157,1226800,2543,2895300,2148,901100,2977,2504100,5299,3445600,1639,2308300,928,763800,2809,2725900,2059,3386500,1925,1684100,25641,2352900
2015,67643,31022500,_,3752,1763100,3425,2857300,3484,1785400,2183,1250100,2834,2958900,2088,913200,2891,2554200,5708,3514800,1687,2358300,1006,777100,3111,2758300,4633,3444900,2038,1715600,28803,2371300
2016,66290,31575300,_,3957,1791100,3664,2910500,3357,1815200,2469,1276100,2990,3025600,2166,927900,2753,2603400,5917,3583900,1671,2411500,1023,790600,1837,2794100,4782,3505300,2037,1746900,27667,2393200
2017,64133,32120500,_,3939,1817500,4039,2962500,3376,1843500,2261,1301000,3111,3088800,2097,942800,2734,2652400,5986,3651700,1705,2462300,983,803100,1797,2829300,4657,3564800,1984,1776700,25464,2424100
2018,67448,32656700,_,4358,1842300,4209,3011700,3409,1870200,2732,1325000,3559,3148400,2197,958000,2948,2699600,6417,3720100,1891,2514200,986,815900,1745,2861200,4769,3620200,2163,1805000,26065,2464900
2019,66594,33255500,_,4424,1869800,4636,3066900,3430,1894800,2855,1352400,3774,3213100,2268,979500,2964,2752900,6533,3798900,1936,2569900,1014,829900,2590,2898500,4499,3683300,2202,1835700,23469,2509900
